mysql> select * from weightsensor_sensordaily where tagid="5a-c2-15-0b-00-01";
+-------+-------------------+---------------------+---------------+----------+---------+----------------------------+
| id    | tagid             | reading             | distancelader | dcstatus | battery | timestamp                  |
| 16920 | 5a-c2-15-0b-00-01 |   6.710000000000008 |          1000 |        0 |     100 | 2023-02-06 14:26:32.108490 |
| 16921 | 5a-c2-15-0b-00-01 |   7.552000000000021 |          1000 |        0 |     100 | 2023-02-06 14:27:15.633424 |
| 16922 | 5a-c2-15-0b-00-01 |   7.959000000000003 |          1000 |        0 |     100 | 2023-02-06 14:28:59.641830 |
| 16923 | 5a-c2-15-0b-00-01 |   8.294000000000011 |          1000 |        0 |     100 | 2023-02-06 14:32:00.792151 |
| 16924 | 5a-c2-15-0b-00-01 |   8.646000000000015 |          1000 |        0 |     100 | 2023-02-06 14:33:05.335294 |
| 16925 | 5a-c2-15-0b-00-01 |    8.88300000000001 |          1000 |        0 |     100 | 2023-02-06 14:33:48.658357 |
| 16926 | 5a-c2-15-0b-00-01 |   9.099000000000018 |          1000 |        0 |     100 | 2023-02-06 14:34:48.932222 |
| 16927 | 5a-c2-15-0b-00-01 |   9.599000000000018 |          1000 |        0 |     100 | 2023-02-06 14:35:32.060823 |
| 16928 | 5a-c2-15-0b-00-01 |   9.933000000000021 |          1000 |        0 |     100 | 2023-02-06 14:36:44.271611 |
| 16929 | 5a-c2-15-0b-00-01 |  12.409999999999997 |          1000 |        0 |     100 | 2023-02-06 14:38:53.838874 |
| 16930 | 5a-c2-15-0b-00-01 |  12.825000000000017 |          1000 |        0 |     100 | 2023-02-06 14:44:41.884615 |
| 16931 | 5a-c2-15-0b-00-01 |  13.474999999999994 |          1000 |        0 |     100 | 2023-02-06 14:47:36.700437 |
| 16932 | 5a-c2-15-0b-00-01 |  13.828000000000003 |          1000 |        0 |     100 | 2023-02-06 14:54:28.337260 |
| 16933 | 5a-c2-15-0b-00-01 |  14.715000000000003 |          1000 |        0 |     100 | 2023-02-06 14:56:44.056438 |
| 16934 | 5a-c2-15-0b-00-01 |              16.613 |          1000 |        0 |     100 | 2023-02-06 14:57:53.251421 |
| 16935 | 5a-c2-15-0b-00-01 |              17.036 |          1000 |        0 |     100 | 2023-02-06 14:58:10.342156 |
| 16936 | 5a-c2-15-0b-00-01 |  17.604000000000013 |          1000 |        0 |     100 | 2023-02-06 14:59:39.549363 |
| 16937 | 5a-c2-15-0b-00-01 |   17.93300000000002 |          1000 |        0 |     100 | 2023-02-06 15:03:21.933905 |
| 16938 | 5a-c2-15-0b-00-01 |  18.224999999999994 |          1000 |        0 |     100 | 2023-02-06 15:09:02.964356 |
